銘柄コード,市場区分,銘柄名,理論株価,株価,乖離率,評価
2882,プ,イートアンドHD,904,1967,118%割高,-
2883,ス,大冷,1572,1993,27%割高,-
2884,プ,ヨシムラ・フード・HD,738,674,9%割安,+
288A,グ,ラクサス・テクノロジーズ,113,110,1%割安,+
2892,ス,日本食品化工,5519,3845,30%割安,+
2894,ス,石井食品,234,332,42%割高,-
2897,プ,日清食品HD,2735,2803.5,3%割高,-
2903,ス,シノブフーズ,2145,1488,31%割安,+
2904,ス,一正蒲鉾,729,759,4%割高,-
2907,ス,あじかん,2320,1320,43%割安,+
2908,プ,フジッコ,1892,1527,19%割安,+
290A,グ,Synspective,318,1322,321%割高,-
2910,プ,ロック・フィールド,1068,1297,21%割高,-
2911,ス,旭松食品,3774,2242,41%割安,+
2914,プ,日本たばこ産業,4626,5865,27%割高,-
2915,グ,ケンコーマヨネーズ,2635,2119,20%割安,+
2916,ス,仙波糖化工業,1009,710,30%割安,+
2917,ス,大森屋,1599,920,42%割安,+
2918,プ,わらべや日洋HD,4280,2772,35%割安,+
291A,グ,リスキル,7172,2712,62%割安,+
2922,プ,なとり,2047,1852,10%割安,+
2923,ス,サトウ食品,5250,7130,36%割高,-
2924,ス,イフジ産業,3586,1885,47%割安,+
2926,ス,篠崎屋,83,100,20%割高,-
2927,ス,AFC-HDアムスライフサイエンス,1281,865,32%割安,+
2929,プ,ファーマフーズ,450,641,42%割高,-
2930,プ,北の達人コーポレーション,99,131,32%割高,-
2931,プ,ユーグレナ,204,403,98%割高,-
2932,ス,STIフードHD,989,1032,4%割高,-
2933,グ,紀文食品,289,1685,491%割高,-
2934,グ,ジェイフロンティア,289,1685,491%割高,-
2935,プ,ピックスHD,1558,1108,29%割安,+
2937,グ,サンクゼール,834,1655,101%割高,-
2938,ス,オカムラ食品工業,643,1210,91%割高,-
3289,プ,東急不動産HD,1451,1337.5,8%割安,+
3291,プ,飯田GHD,4093,2210,44%割安,+
3293,ス,アズマハウス,1922,771,60%割安,+
3297,ス,東武住販,1673,1317,21%割安,+
3299,ス,スムケンエステート,4193,2214,47%割安,+
3300,グ,アンビションDX HD,7215,2389,63%割安,+
3302,プ,帝国繊維,2783,2743,1%割安,+
3306,ス,日本製麻,745,650,13%割安,+
3315,プ,日本コークス工業,,104,,-
3317,ス,フライングガーデン,1597,1502,6%割安,+
3320,ス,クロスプラス,2902,1335,54%割安,+
3321,ス,ミタチ産業,3361,1873,44%割安,+
3323,ス,レカム,77,82,7%割高,-
3326,ス,ランシステム,86,694,702%割高,-
3329,ス,東和フードサービス,1023,2070,102%割高,-
3333,プ,あさひ,1756,1286,27%割安,+
3349,プ,コスモス薬品,6437,6043,6%割安,+
3350,ス,メタプラネット,322,326,1%割高,-
3352,ス,バッファロー,2924,1659,43%割安,+
3353,ス,メディカル光G,5780,2839,51%割安,+
3354,ス,クリヤマHD,3008,1825,39%割安,+
3358,ス,Trailhead GlobalHD,58,101,81%割高,-
3359,グ,cotta,873,510,42%割安,+
3360,プ,シップヘルスケアHD,2782,2322,17%割安,+
3361,ス,トーエル,1251,856,32%割安,+
3371,プ,ソフトクリエイトHD,3208,1780,43%割安,+
3372,ス,関門海,117,221,89%割高,-
3374,ス,内外テック,3155,2764,12%割安,+
3375,ス,ZOA,3555,1738,51%割安,+
3377,ス,バイク王&カンパニー,529,397,25%割安,+
3386,ス,セブン&アイ-HD,1616,1871,16%割高,-
3387,プ,コスモ・バイオ,1461,1275,13%割安,+
3387,グ,クリエイト・レストランツ・HD,189,713,278%割高,-
3388,プ,明治電機工業,3463,2045,41%割安,+
3391,プ,ツルハHD,2092,2058,2%割安,+
3392,ス,デリカフーズHD,678,857,26%割高,-
3393,プ,スターティアHD,3814,2788,27%割安,+
3395,プ,サンマルクHD,1594,2687,69%割高,-
3396,ス,フェリシモ,1395,850,39%割安,+
3397,プ,トリドールHD,1542,4045,166%割高,-
3183,プ,ウィン・パートナーズ,1387,1257,9%割安,+
3184,ス,ICDAHD,9292,4350,53%割安,+
3186,プ,ネクステージ,2140,3410,59%割高,-
3187,グ,ミラタップ,163,255,57%割高,-
3190,ス,ホットマン,1001,570,43%割安,+
3191,プ,ジョイフル本田,2268,2054,9%割安,+
3192,ス,白鳩,,492,,-
3193,グ,エターナルホスピタリティG,1205,2990,148%割高,-
3195,グ,ジェネレーションパス,247,442,80%割高,-
3196,プ,ホットランドHD,711,1577,122%割高,-
3197,プ,すかいらーくHD,991,3008,204%割高,-
3199,プ,綿半HD,1399,6%割安,+
3201,プ,日本毛織,2439,1785,27%割安,+
3202,ス,ダイトウボウ,132,125,5%割安,+
3204,ス,トーア紡コーポレーション,1340,520,61%割安,+
3205,ス,ダイドーリミテッド,383,691,84%割高,-
3221,プ,ヨシックスHD,1562,3235,107%割高,-
3222,ス,ユナイテッドスーパーマーケットHD,713,818,15%割高,-
3223,ス,エスエルディー,508,924,82%割高,-
3224,グ,ゼネラル・オイスター,320,762,150%割高,-
3231,プ,野村不動産HD,1029,1017,1%割安,+
3232,ス,三重交通GHD,621,529,15%割安,+
3236,ス,プロパスト,1234,322,74%割安,+
3237,グ,イントランス,,65,,-
3238,ス,セントラル総合開発,336,357,6%割高,-
3241,ス,ウィル,800,604,25%割安,+
3242,ス,アーバネットコーポレーション,464,550,18%割高,-
3245,プ,ディア・ライフ,3306,1049,68%割安,+
3246,ス,コーセーアルイー,1020,645,37%割安,+
3248,ス,アールエイジ,1288,854,34%割安,+
3252,プ,地主,5963,3360,44%割安,+
3261,グ,グランディーズ,579,451,22%割安,+
3266,ス,ファンドクリエーションG,150,85,43%割安,+
3276,プ,JPMC,1462,1296,11%割安,+
3277,ス,サンセイランディック,1663,1322,20%割安,+
3280,ス,エストラスト,1715,968,44%割安,+
3284,プ,フージャースHD,1945,1178,39%割安,+
3286,ス,トラストHD,470,1111,137%割高,-
3288,プ,オープンハウスG,14410,9162,36%割安,+
3107,プ,ダイワボウHD,2229,3207,44%割高,-
3109,プ,シキボウ,2296,1065,54%割安,+
3110,プ,日東紡,7027,28540,306%割高,-
3111,ス,オーミケンシ,243,192,21%割安,+
3116,プ,トヨタ紡織,4313,2208,49%割安,+
3121,ス,マーチャント・バンカーズ,106,210,98%割高,-
3123,ス,サイボー,1530,634,58%割安,+
3131,ス,シンデンハイテックス,6507,2853,56%割安,+
3132,プ,マクニカHD,3050,2648.5,13%割安,+
3134,ス,Hamee,692,454,34%割安,+
3135,ス,マーケットエンタープライズ,376,1190,229%割高,-
3137,ス,ファンデリー,,228,,-
3138,ス,富士山マガジンサービス,831,1139,37%割高,-
3139,プ,ラクト・ジャパン,3829,3325,13%割安,+
3140,グ,BRUNO,368,1050,185%割高,-
3143,ス,オーウイル,1163,731,37%割安,+
3148,プ,クリエイトSDHD,4632,3280,29%割安,+
3150,プ,グリムス,4415,2821,36%割安,+
3151,プ,バイタルケアエスケーHD,2376,1400,41%割安,+
3153,プ,八洲電機,3117,2934,6%割安,+
3154,プ,メディアスHD,836,312,63%割安,+
3156,プ,レスター,5235,2869,45%割安,+
3157,ス,ジオリーブG,2216,1508,32%割安,+
3159,ス,丸善CHIHD,503,345,31%割安,+
3160,ス,大光,383,589,54%割安,+
3161,ス,アゼアス,930,638,31%割安,+
3166,ス,OCHIHD,1678,1400,17%割安,+
3167,プ,TOKAIHD,1152,1141,1%割安,+
3168,ス,MERF,795,1450,82%割高,-
3169,ス,ミサワ,479,649,36%割高,-
3172,ス,ティーライフ,1495,1157,23%割安,+
3173,ス,Cominix,1104,917,17%割安,+
3174,ス,ハピネスアンド・ディ,,563,,-
3176,プ,三洋貿易,2286,1566,31%割安,+
3177,ス,ありがとうサービス,10289,3615,65%割安,+
3178,ス,チムニー,376,1189,216%割高,-
3179,ス,シュッピン,1138,1096,4%割安,+
3180,プ,ビューティガレージ,2015,1558,23%割安,+
3181,ス,買取王国,1915,954,50%割安,+
3182,ス,オイシックス・ラ・大地,1583,1400,12%割安,+
3569,プ,セーレン,5401,3175,41%割安,+
3571,ス,ソトー,669,705,5%割高,-
3577,ス,東海染工,2369,974,59%割安,+
3580,プ,小松マテーレ,1077,733,32%割安,+
3583,ス,オーベクス,2935,1281,56%割安,+
3591,プ,ワコールHD,4024,4620,15%割高,-
3597,ス,自重堂,11611,10050,13%割安,+
3598,ス,山喜,,164,,-
3600,ス,フジックス,,1632,,-
3607,ス,クラウディアHD,409,370,10%割安,+
3608,プ,TSIHD,1642,1315,20%割安,+
3611,ス,マツオカコーポレーション,4776,2085,56%割安,+
3612,プ,ワールド,2590,1517,41%割安,+
3622,ス,ネットイヤーG,423,542,28%割高,-
3623,グ,ビリングシステム,1208,1086,10%割安,+
3625,グ,テックファームHD,496,629,27%割高,-
3626,ス,TIS,3666,3417,7%割安,+
3627,ス,テクミラHD,329,287,13%割安,+
3628,グ,データホライゾン,,441,,-
3632,プ,グリーHD,472,362,23%割安,+
3633,ス,GMOペポボ,740,1890,155%割高,-
3635,プ,コーエーテクモHD,832,1537,86%割高,-
3636,プ,三菱総合研究所,5834,4490,23%割安,+
3639,ス,ボルテージ,228,243,11%割高,-
3640,ス,電菓,10304,2882,72%割安,+
3641,ス,パビレス,1022,993,3%割安,+
3645,グ,メディカルネット,215,303,41%割高,-
3646,ス,駅探,41,340,729%割高,-
3648,ス,AGS,1585,1135,28%割安,+
3649,プ,ファインデックス,823,791,4%割安,+
3652,グ,ディタルメディアプロフェッショナル,1230,2954,140%割高,-
3653,グ,モルフォ,679,650,4%割安,+
3656,グ,KLab,66,210,220%割高,-
3657,プ,ポールトウウィンHD,257,300,17%割高,-
3659,プ,ネクリン,2094,2642.5,28%割高,-
3660,プ,アイスタイル,291,468,63%割高,-
3661,プ,エムアップHD,1292,721,44%割安,+
3662,プ,エイチームHD,549,970,77%割高,-
3663,プ,セルシス,959,1361,42%割高,-
3665,プ,エニグモ,316,376,19%割高,-
3479,グ,ティーケービー,1667,1703,2%割高,-
3480,プ,ジェイ・エス・ビー,4413,5150,17%割高,-
3482,プ,ロードスター・キャピタル,10667,3025,71%割安,+
3484,ス,イノベーションHD,1016,1133,12%割高,-
3486,グ,グローバル・リンク・マネジメント,6001,1881,69%割安,+
3489,ス,フェイスネットワーク,1805,759,58%割安,+
3490,ス,アズ企画設計,4064,2805,31%割安,+
3491,グ,GA technologies,2104,1532,26%割安,+
3496,ス,マリオン,575,359,35%割安,+
3495,ス,香陵住販,5092,2360,52%割安,+
3496,プ,アズーム,4518,4095,9%割安,+
3498,プ,鶴ヶ島キャピタル,12350,6440,48%割安,+
3501,プ,SUMINOE,2661,1269,52%割安,+
3512,ス,日本フエルト,990,888,10%割安,+
3513,ス,イチカワ,4820,3145,35%割安,+
3521,ス,テルマー湯HD,176,152,14%割安,+
3524,ス,日東製網,2282,1443,37%割安,+
3529,ス,アツギ,,1137,,-
3536,ス,アクサスHD,39,130,236%割高,-
3537,ス,昭栄薬品,2353,1585,33%割安,+
3538,ス,ウイルプラスHD,1967,992,50%割安,+
3539,グ,JMHD,2395,1362,43%割安,+
3542,グ,ベガコーポレーション,1020,1611,59%割高,-
3543,ス,コメダHD,2654,3050,15%割高,-
3544,ス,サツドラHD,606,872,44%割高,-
3547,ス,ユニシアHD,495,1846,273%割高,-
3548,プ,ロックジャパンリミテッド,435,727,67%割高,-
3549,プ,くすりのアオキHD,1999,3756,88%割高,-
3550,グ,スタジオアタオ,215,224,4%割高,-
3551,ス,ダイニック,3156,1034,67%割安,+
3553,ス,共和レザー,1177,913,22%割安,+
3556,グ,リネットジャパンG,200,943,441%割高,-
3557,グ,ユナイテッド&コレクティブ,,582,,-
3559,ス,ビーバンドットコム,505,480,5%割安,+
3560,ス,ほぼ日,3842,4350,13%割高,-
3561,ス,力の源HD,895,1473,65%割高,-
3562,ス,No.1,2578,1617,37%割安,+
3563,プ,FOOD&LIFE COMPANIES,3114,9074,197%割高,-
3565,ス,アセンテック,344,437,27%割高,-
3566,ス,ユニフォームネクスト,1182,810,31%割安,+
3399,ス,丸千代山岡家,4625,3070,34%割安,+
3401,プ,帝人,2388,1574.5,34%割安,+
3402,プ,東レ,1259,1121,11%割安,+
3405,プ,クラレ,2404,1644,32%割安,+
3407,プ,旭化成,1594,1535,4%割安,+
3409,ス,北越,13,120,815%割高,-
3415,プ,TOKYO BASE,432,416,4%割安,+
3416,ス,ピクスタ,1067,869,13%割安,+
3417,ス,大木ヘルスケアHD,2537,1352,47%割安,+
3418,グ,バルニバービ,583,1100,89%割高,-
3420,ス,ケー・エフ・シー,2780,1515,45%割安,+
3421,ス,稲葉製作所,2484,1657,33%割安,+
3422,ス,J-MAX,1417,426,70%割安,+
3423,ス,エスイー,356,270,24%割安,+
3426,ス,アトムリビンテック,2095,1304,38%割安,+
3431,プ,宮地エンジニアリングG,1874,1645,13%割安,+
3434,ス,トーカロ,3307,3130,6%割安,+
3435,ス,アルファ,3133,1215,61%割安,+
3435,ス,サンコーテクノ,2722,1350,50%割安,+
3436,プ,SUMCO,1406,2476,76%割高,-
3437,ス,特殊陶板,4858,3100,36%割安,+
3439,ス,三ツ知,1714,745,57%割安,+
3440,ス,日創G,1926,934,51%割安,+
3441,ス,山王,2903,2345,19%割安,+
3443,プ,川田テクノロジーズ,2498,1496,40%割安,+
3444,ス,菊池製作所,245,1525,522%割高,-
3445,ス,RS Technologies,7531,5990,20%割安,+
3446,ス,ジェイテックコーポレーション,489,1920,293%割高,-
3447,ス,信和,3413,977,71%割安,+
3449,ス,テクノフレックス,2311,4185,108%割高,-
3452,ス,ビーロット,4599,1431,69%割安,+
3454,ス,ファーストブラザーズ,1776,1172,34%割安,+
3457,プ,And DoHD,1201,1068,11%割安,+
3461,ス,パルマ,509,560,15%割高,-
3465,ス,ケイアイスター不動産,6508,3150,52%割安,+
3467,ス,アグレ都市デザイン,2624,2271,13%割安,+
3469,ス,デュアルタップ,170,1002,489%割高,-
3474,グ,G-FACTORY,152,550,263%割高,-
3475,プ,グッドコムアセット,1893,1476,22%割安,+
3477,グ,フォーライフ,1522,796,48%割安,+
3861,プ,王子HD,1121,822.5,27%割安,+
3863,プ,日本製紙,2893,1312,55%割安,+
3864,プ,三菱製紙,1405,932,34%割安,+
3865,プ,北越コーポレーション,1536,889,42%割安,+
3877,プ,中越パルプ工業,3841,1919,50%割安,+
3878,ス,巴川コーポレーション,1920,870,55%割安,+
3880,プ,大王製紙,1218,953,22%割安,+
3891,ス,ニッポン高度紙工業,3722,6360,71%割高,-
3892,ス,岡山製紙,2405,1664,31%割安,+
3895,ス,ハピックス,899,411,54%割安,+
3896,ス,阿波製紙,270,442,66%割高,-
3900,グ,クラウドワークス,262,575,124%割高,-
3901,プ,マークラインズ,2143,1477,31%割安,+
3903,グ,gumi,356,322,9%割安,+
3904,グ,カヤック,451,423,5%割安,+
3905,グ,データセクション,214,1487,600%割高,-
3907,ス,シリコンスタジオ,649,582,10%割安,+
3908,ス,コラボス,309,328,23%割高,-
3909,ス,ショーケース,157,228,45%割高,-
3910,ス,エムケイシステム,141,292,107%割高,-
3911,グ,Aiming,137,174,27%割高,-
3912,ス,モバイルファクトリー,1416,1162,18%割安,+
3913,ス,GreenBee,870,1075,24%割高,-
3914,グ,JIG-SAW,1058,2383,126%割高,-
3915,プ,テラスカイ,1922,1754,9%割安,+
3916,プ,デジタルインフォメーション・テクノロジー,1483,903,39%割安,+
3917,グ,アイリッジ,363,461,27%割高,-
3918,ス,PCIHD,2203,1039,52%割安,+
3920,ス,アイビーシー,878,980,12%割高,-
3921,プ,ネオジャパン,2050,1539,25%割安,+
3922,プ,PR TIMES,2134,2118,1%割安,+
3923,ス,ラクス,821,856.3,4%割高,-
3925,プ,ダブルスタンダード,1369,1350,1%割安,+
3926,ス,オープンドア,71,307,331%割高,-
3927,ス,スーパーブレイン,386,1016,163%割高,-
3928,ス,マイネット,230,265,15%割高,-
3929,グ,ソーシャルワイヤー,177,330,86%割高,-
3930,グ,はてな,934,878,6%割安,+
3931,グ,バリューゴルフ,645,1830,184%割高,-
3932,プ,アカツキ,3944,2758,29%割安,+
3772,ス,ウェルス・マネジメント,745,1077,45%割高,-
3773,グ,アドバンスト・メディア,1133,1076,5%割安,+
3774,プ,インターネットイニシアティブ,2563,2772.5,8%割高,-
3776,ス,ブロードバンドタワー,192,246,28%割高,-
3777,グ,環境フレンドリーHD,11,56,411%割高,-
3778,ス,さくらインターネット,1410,3130,122%割高,-
3779,ス,ジェイ・エスコムHD,81,149,84%割高,-
3788,グ,GMOグローバルサイン-HD,1747,1907,9%割高,-
3791,ス,IGポート,717,1334,86%割高,-
3793,グ,ドリコム,221,406,85%割高,-
3796,ス,いい生活,142,300,112%割高,-
3798,ス,ULSG,896,495,45%割安,+
3799,ス,キーウェアソリューションズ,1291,1088,16%割安,+
3800,ス,ユニタ,2079,1900,9%割安,+
3802,ス,エコミック,595,470,21%割安,+
3804,ス,システムティ,592,561,5%割安,+
3815,グ,メディア工房,,450,,-
3816,ス,大和コンピューター,1348,1156,14%割安,+
3817,プ,SRAHD,5413,4495,17%割安,+
3823,ス,THE WHY HOW DO COMPANY,,43,,-
3825,ス,ソリミックスポイント,,215,,-
3826,ス,システムインテグレータ,469,454,3%割安,+
3834,プ,朝日ネット,915,627,31%割安,+
3835,ス,eBASE,295,402,36%割高,-
3836,プ,アバントG,2224,1288,42%割安,+
3837,プ,アドソル日進,1493,1483,1%割安,+
3839,ス,ODKソリューションズ,814,625,23%割安,+
3840,ス,パス,,57,,-
3841,ス,シーダット,1222,1145,6%割安,+
3842,ス,ネクストジェン,1022,973,5%割安,+
3843,プ,フリービット,2418,1403,42%割安,+
3844,プ,コムチュア,1559,1361,13%割安,+
3845,ス,アイフリークモバイル,,278,,-
3848,ス,データ・アプリケーション,820,919,12%割高,-
3850,ス,NTT・データ・イントラマート,2237,2668,19%割高,-
3851,ス,日本一ソフトウェア,865,834,2%割安,+
3853,プ,アステリア,426,1490,250%割高,-
3854,プ,アイル,2656,2383,10%割安,+
3856,ス,Abalance,4103,501,88%割安,+
3858,ス,ユビキタスAI,,327,,-
3668,プ,コロプラ,439,432,2%割安,+
3671,ス,ソフトマックス,409,348,15%割安,+
3673,プ,ブロードリーフ,320,903,183%割高,-
3674,グ,オークファン,308,333,8%割高,-
3675,ス,クロス・マーケティングG,1301,617,53%割安,+
3676,グ,デジタルハーツHD,1203,832,31%割安,+
3678,プ,メディアドゥ,1321,1242,6%割安,+
3679,ス,じげん,724,408,44%割安,+
3680,グ,ホットリンク,247,224,9%割安,+
3682,ス,エンカレッジ・テクノロジ,741,652,12%割安,+
3683,ス,サイバーリンクス,1679,975,42%割安,+
3687,プ,フィックスターズ,1235,1264,2%割高,-
3688,ス,イルグルム,297,545,84%割高,-
3691,グ,デジタルプラス,265,2072,725%割高,-
3692,グ,FFRIセキュリティ,894,5900,560%割高,-
3694,プ,オプティム,400,427,7%割高,-
3695,グ,GMOプロダクトプラットフォーム,1086,1679,55%割高,-
3696,プ,セレス,2457,1795,27%割安,+
3697,グ,SHIFT,1308,656.2,50%割安,+
3698,ス,CRI・ミドルウェア,1225,1021,17%割安,+
3708,プ,特殊東海製紙,2443,1589,35%割安,+
3710,ス,ジョルダン,772,610,21%割安,+
3712,ス,情報企画,1071,1062,1%割安,+
3719,ス,AIストーム,81,217,182%割高,-
3723,プ,日本ファルコン,1778,2085,17%割高,-
3727,グ,アプリックス,68,170,198%割高,-
3733,ス,ソフトウェア・サービス,23085,11280,51%割安,+
3741,プ,セック,2830,3005,6%割高,-
3744,ス,サイオス,276,441,60%割高,-
3747,ス,インタートレード,140,560,300%割高,-
3753,ス,フライトソリューションズ,21,150,628%割高,-
3758,ス,アエリア,459,247,44%割安,+
3760,ス,ケイブ,,600,,-
3762,プ,テクマトリックス,2810,1811,35%割安,+
3763,プ,プロシップ,1313,1533,19%割高,-
3765,グ,ガンホー・オンライン・エンターテインメント,3065,2469,19%割安,+
3766,ス,システムズ・デザイン,1674,1253,25%割安,+
3768,ス,リスクモンスター,722,591,18%割安,+
3769,グ,GMOペイメントゲートウェイ,5659,7780,37%割高,-
3771,プ,システムリサーチ,2778,1655,40%割安,+
4057,グ,インターファクトリー,295,389,33%割高,-
4058,グ,トヨクモ,3010,1835,39%割安,+
4059,ス,まぐまぐ,292,457,56%割高,-
4040,グ,rakumo,1171,1137,0.3%割安,+
4061,プ,デンカ,3244,4100,26%割高,-
4062,プ,イビデン,2996,13480,350%割高,-
4063,プ,信越化学工業,4781,7246,52%割高,-
4064,プ,日本カーバイド工業,5161,2688,48%割安,+
4068,グ,ベイシス,1298,1655,28%割高,-
4069,グ,BlueMeme,794,1168,50%割高,-
4071,プ,プラスアルファ・コンサルティング,3087,2181,29%割安,+
4072,プ,電算システムHD,3438,2834,18%割安,+
4073,グ,ジシ・シイ企画,107,510,390%割高,-
4074,グ,ラクール,801,703,9%割安,+
4075,グ,ブレインズテクノロジー,504,1164,138%割高,-
4076,グ,シイエヌエス,3149,1735,45%割安,+
4078,プ,堺化学工業,5272,3710,30%割安,+
4082,プ,第一稀元素化学工業,1635,2350,40%割高,-
4088,プ,エア・ウォーター,3182,2218.5,30%割安,+
4091,プ,日本酸素HD,3810,5540,45%割高,-
4092,プ,日本化学工業,5232,3360,36%割安,+
4093,ス,東邦アセチレン,671,406,39%割安,+
4094,ス,日本化学産業,2437,2351,4%割安,+
4095,プ,日本バーカライジング,2021,1446,28%割安,+
4097,プ,高圧ガス工業,1593,1100,31%割安,+
4098,ス,チタン工業,,1028,,-
4099,プ,四国化成HD,3454,5040,46%割高,-
4100,ス,戸田工業,,1341,,-
4102,ス,丸尾カルシウム,1195,1480,28%割高,-
4107,ス,伊勢化学工業,1465,5220,256%割高,-
4109,ス,ステラファーマ,5059,5360,6%割高,-
4112,プ,保土谷化学工業,3576,2502,30%割安,+
4113,ス,田岡化学工業,1306,901,31%割安,+
4114,プ,日本触媒,2550,2157.5,15%割安,+
4116,プ,大日精化工業,1956,1066,45%割安,+
4118,プ,カネカ,7976,4897,38%割安,+
4119,ス,日本ピグメントHD,10088,5860,42%割安,+
4120,ス,スガイ化学工業,5259,2201,58%割安,+
4124,ス,大阪油化工業,2095,2710,29%割高,-
4125,ス,三和油化工業,3668,3455,6%割安,+
3992,プ,ニーズウェル,370,454,23%割高,-
3993,プ,PKSHA Technology,1235,3300,167%割高,-
3994,プ,マネーフォワード,,4725,,-
3996,ス,サインポスト,154,216,40%割高,-
3997,ス,ストレートワークス,57,382,569%割高,-
3998,グ,すららネット,224,314,40%割高,-
4004,プ,レゾナック・HD,4134,14215,244%割高,-
4005,プ,住友化学,670,509.6,24%割安,+
4008,プ,住友精化,1678,1197,29%割安,+
4011,グ,ヘッドウォータース,579,2208,317%割高,-
4012,ス,アクシス,3365,1534,53%割安,+
4013,グ,勤次郎,929,689,24%割安,+
4014,グ,カラダノート,126,396,223%割高,-
4015,グ,ベイクラウドHD,324,462,46%割高,-
4016,ス,MITHD,1149,910,19%割安,+
4017,グ,クリーマ,172,216,25%割高,-
4019,グ,スタメン,603,661,12%割高,-
4020,グ,ビートレンド,,683,,-
4021,プ,日産化学,5774,6775,17%割高,-
4022,ス,ラサ工業,1412,2128,51%割高,-
4023,プ,クレハ,5283,3900,26%割安,+
4025,プ,多木化学,4919,4575,7%割安,+
4026,ス,神島化学工業,2190,1807,17%割安,+
4027,プ,テイカ,2336,1895,19%割安,+
4028,プ,石原産業,4077,3015,26%割安,+
4031,ス,片倉コープアグリ,,1272,,-
4040,ス,南海化学,7405,3055,58%割安,+
4041,プ,日本曹達,4012,3635,9%割安,+
4042,プ,東ソー,3769,2413,36%割安,+
4043,プ,トクヤマ,6053,3998,34%割安,+
4044,プ,セントラル硝子,4933,4105,17%割安,+
4045,プ,東亜合成,1990,1702.5,14%割安,+
4046,プ,大阪ソーダ,1930,1871,3%割安,+
4047,プ,関東電化工業,1285,1671,30%割高,-
4051,グ,GMOフィナンシャルゲート,3079,5690,85%割高,-
4052,グ,フィーチャ,121,280,133%割高,-
4053,ス,Sun Asterisk,469,419,7%割安,+
4054,グ,日本情報クリエイト,562,555,0.0%割安,+
4055,グ,ティアンドエスG,1256,1695,36%割高,-
4056,グ,ニューラルG,116,285,147%割高,-
3933,ス,チエル,1073,671,37%割安,+
3934,ス,ベネフィットジャパン,2315,1882,19%割安,+
3935,ス,エディア,1357,668,51%割安,+
3936,グ,グローバルウェイ,35,186,427%割高,-
3937,ス,UbicomHD,1058,943,11%割安,+
3938,グ,カナミックネットワーク,712,544,24%割安,+
3960,ス,ノムラシステムコーポレーション,141,132,7%割安,+
3941,プ,レンゴー,1872,1228.5,34%割安,+
3943,ス,大石産業,2123,1352,36%割安,+
3964,ス,古林紙工,8463,2380,72%割安,+
3945,ス,スーパーバッグ,3775,2221,41%割安,+
3946,プ,トモク,5700,3505,51%割安,+
3947,プ,ダイナパック,4828,2370,51%割安,+
3948,ス,光ビジネスフォーム,1444,1200,17%割安,+
3950,プ,ザ・パック,1629,1304,20%割安,+
3951,ス,朝日印刷,1672,861,49%割安,+
3953,ス,大村紙業,1241,777,37%割安,+
3954,ス,昭和パックス,4933,3110,37%割安,+
3955,ス,イムラ,1633,864,47%割安,+
3958,ス,篭田印刷,1439,560,61%割安,+
3962,プ,チェンジHD,2158,902,58%割安,+
3963,プ,シンクロ・フード,293,410,40%割高,-
3964,プ,オークネット,1887,1208,36%割安,+
3965,ス,キャピタル・アセット・プランニング,779,853,11%割高,-
3967,グ,エルデス,273,579,112%割高,-
3968,プ,セグエG,436,524,21%割高,-
3969,ス,エイトレッド,2256,1400,38%割安,+
3970,グ,イノベーション,990,901,9%割安,+
3974,ス,SCAT,718,577,20%割安,+
3976,グ,シャノン,253,375,51%割高,-
3979,グ,うるる,151,339,125%割高,-
3981,ス,ビーグリー,1949,1276,35%割安,+
3983,プ,オロ,2536,1998,21%割安,+
3984,プ,ユーザーローカル,2319,1544,33%割安,+
3985,グ,テモナ,79,190,144%割高,-
3986,ス,ビープレイクシステムズ,541,518,4%割安,+
3987,グ,エコモット,132,559,323%割高,-
3988,ス,SYSHD,979,545,44%割安,+
3989,グ,シェアリングテクノロジー,1577,1162,26%割安,+
3991,グ,ウォンテッドリー,1113,1018,8%割安,+
4307,プ,野村総合研究所,3047,4142,36%割高,-
4308,グ,JストリームG,451,373,17%割安,+
4310,プ,ドリームインキュベータ,1644,2429,48%割高,-
4317,ス,レイ,779,507,35%割安,+
4318,プ,クイック,1226,841,31%割安,+
4320,ス,CEHD,937,1201,28%割高,-
4323,プ,日本システム技術,1992,1899,5%割安,+
4324,プ,電通G,2318,2986,29%割高,-
4326,プ,インテージHD,1340,1661,24%割高,-
4331,プ,テイクアンドギヴ・ニーズ,1055,688,35%割安,+
4334,ス,ユークス,339,391,15%割高,-
4335,ス,IPSHD,1700,1258,26%割安,+
4337,プ,ぴあ,868,3500,303%割高,-
4341,ス,西菱電機,1265,790,38%割安,+
4343,プ,イオンファンタジー,643,2551,297%割高,-
4344,プ,ソースネクスト,,125,,-
4345,プ,シーティーエス,1127,865,23%割安,+
4347,ス,ブロードメディア,1547,2199,42%割高,-
4350,ス,メディカルシステムネットワーク,592,523,12%割安,+
4356,ス,応用技術,1810,1771,2%割安,+
4360,ス,マナック・ケミカル・パートナーズ,1103,881,20%割安,+
4361,ス,川口化学工業,2492,1466,41%割安,+
4362,プ,日本精化,3127,2545,19%割安,+
4365,ス,松本油脂製薬,28630,21110,26%割安,+
4366,ス,ダイトーケミックス,449,407,9%割安,+
4367,ス,広栄化学,,2140,,-
4368,プ,扶桑化学工業,2364,3260,38%割高,-
4369,プ,トリケミカル研究所,2221,3200,44%割高,-
4370,グ,モビルス,326,,-
4371,グ,コアコンセプト・テクノロジー,1297,1377,6%割高,-
